cities;Oklahoma City;Montgomery;Saint Paul;Trenton;Salt Lake City;Columbus;Austin;Phoenix;Hartford;Baton Rouge;Salem;Little Rock;Richmond;Jackson;Des Moines;Lansing;Denver;Boise;Raleigh;Atlanta;Madison;Indianapolis;Nashville;Columbia;Providence;Boston;Tallahassee;Sacramento;Albany;Harrisburg
Oklahoma City;0;40;36;20;13;1;23;35;43;31;23;14;6;14;42;8;3;1;40;1;16;22;45;31;29;45;31;41;16;10
Montgomery;2;0;19;4;41;11;13;5;6;27;43;38;44;19;11;28;40;2;18;25;25;7;30;21;35;10;11;1;12;24
Saint Paul;3;9;0;0;27;25;36;12;16;5;36;8;32;6;37;15;20;31;2;24;23;9;41;24;1;32;7;38;8;33
Trenton;28;41;19;0;0;8;34;35;42;8;43;15;16;41;32;45;38;13;26;42;17;19;42;13;3;17;44;4;3;35
Salt Lake City;35;18;11;39;0;32;8;43;0;29;39;41;1;25;14;11;6;1;38;26;10;5;8;24;28;11;26;30;10;38
Columbus;15;4;31;28;33;0;2;36;20;24;10;5;12;9;9;20;3;7;14;34;5;0;6;16;27;35;41;18;17;6
Austin;20;2;14;27;12;43;0;34;19;23;8;28;24;15;37;5;45;6;2;26;42;13;3;15;43;41;34;18;9;38
Phoenix;20;1;25;0;22;8;1;0;38;34;10;18;23;22;35;3;29;39;41;44;39;30;10;8;35;40;7;4;4;30
Hartford;23;34;7;32;15;27;15;0;0;11;27;19;16;41;25;31;11;18;28;24;25;27;39;18;11;36;27;6;41;13
Baton Rouge;18;24;5;11;12;23;9;20;10;0;35;44;10;35;0;26;11;26;13;3;42;31;29;18;18;13;26;25;29;8
Salem;7;31;38;12;22;27;42;4;31;45;0;17;2;23;18;26;41;24;11;4;3;22;28;3;32;13;41;2;1;6
Little Rock;40;38;14;8;32;40;15;39;38;40;29;0;31;45;23;18;42;22;25;27;9;14;9;4;11;23;40;36;28;33
Richmond;14;44;30;40;13;31;13;23;40;25;27;25;0;23;17;29;17;0;35;12;27;27;21;29;12;33;15;14;10;13
Jackson;36;9;30;34;18;8;38;7;25;2;30;14;26;0;39;9;20;42;8;35;20;34;10;1;16;29;15;32;13;17
Des Moines;5;8;16;14;11;10;7;3;34;11;6;22;25;16;0;23;42;22;19;27;5;28;14;15;40;5;5;8;43;13
Lansing;4;5;16;23;29;36;4;44;30;27;38;33;39;9;34;0;5;44;14;7;17;20;38;34;40;6;1;31;32;42
Denver;18;22;19;7;4;16;32;11;9;35;19;42;19;37;11;27;0;35;40;24;13;44;32;17;21;1;40;10;9;32
Boise;31;43;12;21;43;30;39;35;28;13;19;39;42;44;32;38;38;0;29;8;29;11;42;40;2;25;44;23;43;22
Raleigh;24;38;1;39;10;29;21;12;41;4;8;18;26;8;20;20;16;12;0;11;22;11;7;32;12;4;0;8;36;42
Atlanta;26;21;13;11;1;33;15;22;11;34;5;11;45;13;21;25;42;43;39;0;7;36;40;41;13;3;0;26;19;16
Madison;35;3;25;38;12;37;12;12;25;13;37;29;32;5;28;21;35;36;12;24;0;22;25;0;23;37;2;19;40;19
Indianapolis;14;26;36;23;0;34;34;38;18;14;34;14;14;35;21;31;15;34;42;28;16;0;14;16;26;30;11;16;37;18
Nashville;39;36;42;19;42;28;34;42;16;34;27;13;26;34;5;14;45;19;5;8;27;7;0;25;28;24;18;17;4;29
Columbia;13;12;33;37;18;45;42;4;4;10;23;41;17;4;18;20;33;4;41;21;18;11;21;0;19;11;20;10;8;27
Providence;29;11;15;43;20;3;42;38;19;32;32;9;27;0;34;42;27;27;21;33;20;22;24;39;0;12;31;22;42;3
Boston;37;14;45;8;34;0;25;16;14;44;41;34;39;19;35;14;30;24;39;18;42;21;35;31;22;0;45;35;42;2
Tallahassee;0;10;27;42;15;16;28;38;0;20;3;13;28;17;37;27;39;21;32;21;3;13;43;36;22;12;0;31;1;20
Sacramento;7;35;33;9;30;7;31;36;25;18;17;31;33;17;43;19;32;34;27;8;14;21;1;31;35;11;38;0;16;7
Albany;22;28;10;8;31;28;40;5;29;35;2;27;9;2;33;30;18;31;34;12;3;20;29;20;3;40;5;10;0;29
Harrisburg;19;4;29;29;37;34;42;1;42;21;2;33;11;2;33;25;11;8;32;26;18;14;24;44;16;31;14;40;7;0
