y|x;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
0;0,394;0,818;0,864;0,115;0,431;0,299;0,118;0,045;0,42;0,175;0,179;0,008;0,476;0,183;0,015;0,025;0,25;0,288;0,805;0,905;0,232;0,254;0,054;0,689;0,445;0,886;0,646;0,181;0,605;0,548;0,857;0,038;0,106;0,982;0,057;0,086;0,425;0,227;0,23;0,837;0,051;0,421;0,13;0,717;0,106;0,107;0,881;0,23;0,782;0,49
1;0,145;0,939;0,768;0,996;0,136;0,262;0,095;0,63;0,538;0,446;0,82;0,492;0,497;0,782;0,293;0,869;0,051;0,26;0,52;0,155;0,058;0,28;0,69;0,314;0,549;0,645;0,597;0,698;0,438;0,648;0,08;0,563;0,421;0,222;0,758;0,929;0,671;0,504;0,383;0,246;0,333;0,623;0,802;0,182;0,296;0,712;0,52;0,821;0,711;0,187
2;0,048;0,645;0,6;0,085;0,515;0,646;0,159;0,172;0,526;0,673;0,009;0,205;0,165;0,509;0,409;0,611;0,933;0,312;0,725;0,546;0,215;0,371;0,998;0,516;0,778;0,492;0,692;0,083;0,212;0,214;0,205;0,661;0,753;0,921;0,42;0,084;0,555;0,743;0,073;0,99;0,227;0,52;0,078;0,015;0,541;0,701;0,9;0,46;0,737;0,439
3;0,663;0,479;0,116;0,378;0,905;0,942;0,612;0,752;0,083;0,364;0,211;0,327;0,488;0,078;0,345;0,978;0,536;0,093;0,474;0,89;0,448;0,019;0,956;0,232;0,097;0,222;0,028;0,845;0,149;0,002;0,121;0,54;0,841;0,289;0,062;0,298;0,246;0,018;0,203;0,122;0,469;0,576;0,979;0,169;0,979;0,225;0,806;0,614;0,035;0,175
4;0,616;0,105;0,148;0,651;0,152;0,972;0,238;0,429;0,071;0,113;0,938;0,169;0,221;0,42;0,861;0,777;0,528;0,846;0,431;0,464;0,691;0,839;0,036;0,478;0,219;0,708;0,73;0,416;0,637;0,748;0,043;0,669;0,3;0,198;0,016;0,962;0,448;0,179;0,07;0,808;0,549;0,557;0,287;0,159;0,093;0,463;0,758;0,104;0,199;0,583
5;0,409;0,985;0,857;0,27;0,794;0,524;0,172;0,643;0,565;0,313;0,092;0,653;0,646;0,933;0,705;0,142;0,912;0,621;0,413;0,564;0,706;0,447;0,694;0,759;0,328;0,102;0,595;0,633;0,687;0,721;0,315;0,692;0,145;0,439;0,956;0,134;0,71;0,805;0,416;0,135;0,172;0,034;0,046;0,538;0,891;0,487;0,581;0,487;0,519;0,815
6;0,175;0,829;0,771;0,394;0,156;0,769;0,467;0,542;0,027;0,024;0,251;0,243;0,771;0,276;0,8;0,869;0,861;0,639;0,183;0,937;0,701;0,95;0,232;0,845;0,183;0,548;0,291;0,886;0,931;0,772;0,861;0,411;0,859;0,817;0,404;0,866;0,281;0,426;0,021;0,862;0,695;0,815;0,644;0,939;0,438;0,947;0,838;0,904;0,226;0,582
7;0,765;0,853;0,83;0,782;0,903;0,434;0,16;0,583;0,278;0,022;0,292;0,482;0,308;0,598;0,528;0,71;0,463;0,615;0,951;0,321;0,122;0,524;0,04;0,107;0,086;0,887;0,726;0,126;0,382;0,675;0,868;0,405;0,919;0,119;0,321;0,471;0,226;0,618;0,404;0,124;0,573;0,779;0,705;0,706;0,055;0,226;0,566;0,549;0,233;0,269
8;0,448;0,65;0,718;0,859;0,345;0,584;0,736;0,435;0,898;0,924;0,809;0,573;0,732;0,287;0,145;0,468;0,746;0,15;0,152;0,36;0,785;0,428;0,779;0,629;0,332;0,782;0,463;0,657;0,32;0,578;0,63;0,906;0,367;0,899;0,314;0,006;0,207;0,548;0,268;0,135;0,099;0,853;0,694;0,058;0,213;0,618;0,538;0,838;0,48;0,568
9;0,571;0,463;0,637;0,75;0,68;0,785;0,353;0,115;0,24;0,206;0,519;0,878;0,283;0,134;0,516;0,13;0,646;0,505;0,077;0,468;0,482;0,555;0,891;0,325;0,879;0,703;0,298;0,659;0,821;0,137;0,074;0,432;0,778;0,956;0,513;0,061;0,467;0,177;0,934;0,36;0,044;0,358;0,759;0,035;0,781;0,279;0,472;0,396;0,038;0,304
