y|x;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;5;5;5;5;5;5;5;6;5;5;5;5;5;5;7;5;5;5;5;7;5;5;5;5;5;5;5;5;6;5;1
1;12;12;11;1;6;7;5;5;5;8;8;8;1;8;8;8;8;1;5;5;5;5;5;5;5;5;5;5;5;7;5;5;5;5;5;5;5;5;5;5;7;5;5;7;5;7;5;5;5;1
2;11;11;12;11;1;7;6;5;5;8;8;8;1;8;8;8;8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1
3;11;11;11;12;11;1;7;7;6;8;8;8;1;8;8;8;8;1;7;6;6;5;6;1;8;8;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;1;5;1
4;11;11;11;11;12;7;1;7;7;8;8;8;1;8;8;8;8;1;5;5;5;5;5;1;8;8;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;1;5;1
5;19;19;11;11;11;12;6;1;7;8;8;8;1;8;8;8;8;1;7;5;5;5;7;1;8;8;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;1;5;1
6;19;19;19;11;11;12;7;7;1;8;8;8;1;8;8;8;8;1;5;7;5;7;5;1;8;8;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;1;1;1;1;1;1;1;1
7;19;19;19;11;11;12;9;6;7;1;8;8;1;8;8;8;8;1;5;5;5;5;5;1;8;8;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;1;7;7;7;5;5;1;5;1
8;19;19;19;19;19;12;9;9;7;7;1;8;1;8;8;8;8;1;5;5;5;5;5;1;8;8;11;11;1;1;1;1;1;1;1;1;1;1;1;1;1;1;7;7;7;5;5;1;5;1
9;19;19;19;19;19;12;12;9;9;6;7;1;1;8;8;8;8;1;5;5;5;5;5;1;8;8;11;11;1;5;5;5;4;5;5;5;5;5;5;1;5;1;7;7;7;5;5;1;5;1
